GLOBALEVENTID,Date,Actor1Name,Actor2Name,EventDescription,EventRootDescription,ActionGeo_CountryName,SOURCEURL,SourceName,Actor1Type1Code,Actor1Geo_CountryName,Actor2Type1Code,Actor2Geo_CountryName,Is_Translated,GoldsteinScale,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long
1184267926,2024-06-28,,SPAIN,Make a visit,Consult,Spain,https://www.semana.com/turismo/articulo/enoturismo-la-ruta-del-vino-en-colombia-la-forma-de-mirar-el-pais-a-traves-de-la-uva/202452/,www.semana.com,,,,Spain,1,1.9,3.55239786856128,6,28.3599,-16.3687
1184267980,2024-06-28,,SWEDEN,Make a visit,Consult,Spain,https://www.ideal.es/almeria/almeria/odio-denuncia-20240628231508-nt.html,www.ideal.es,,,,Spain,1,1.9,-4.82233502538071,6,37.6,-4.5
1184268076,2024-06-28,TRAFFICKER,,"Arrest, detain, or charge with legal action ",Coerce,Spain,https://mustaqila.com/%D8%A7%D9%84%D8%AD%D9%83%D9%85-%D8%B9%D9%84%D9%89-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%87%D9%86%D8%AF%D9%88%D8%B1%D8%A7%D8%B3-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D9%82-%D8%A8%D8%A7%D9%84%D8%B3%D8%AC/,mustaqila.com,CRM,Spain,,,1,-5.0,-5.9071729957806,6,40.0,-4.0
1184268132,2024-06-28,MADRID,,Praise or endorse,Engage In Diplomatic Cooperation,Spain,https://www.menorca.info/ocio/conciertos/club-del-rio-claustre-todo-alrededor.html,www.menorca.info,,Spain,,,1,3.4,0.0,10,40.4,-3.68333
1184268133,2024-06-28,MADRID,,"Provide aid, not specified below",Provide Aid,Spain,https://www.elmundo.es/madrid/2024/06/28/667de698fc6c83737a8b4580.html,www.elmundo.es,,Spain,,,1,7.0,5.80046403712297,10,40.4,-3.68333
1184268352,2024-06-28,REPRESENTATIVES,REPRESENTATIVES,Make a visit,Consult,Spain,https://www.lavozdegalicia.es/noticia/ourense/2024/06/27/d-ribeiro-premia-talentos-posible-vino-calidad/00031719513978770824626.htm,www.lavozdegalicia.es,LEG,Spain,LEG,Spain,1,1.9,6.73267326732673,10,42.35,-8.0
1184268437,2024-06-28,RUSSIAN,,Mediate,Consult,Russia,https://www.forbes.ru/investicii/515735-novye-puti-na-inostrannye-rynki-kakie-vozmoznosti-mogut-poavit-sa-u-investorov,www.forbes.ru,,Spain,,,1,5.0,-1.71232876712328,1,59.8944,30.2642
1184271097,2024-06-28,,SPANISH,"Consult, not specified below",Consult,Spain,https://www.teletica.com/entretenimiento/de-mocedades-al-consorcio-sinfonico-se-presenta-este-fin-de-semana_362051,www.teletica.com,,,,Spain,1,1.0,5.91259640102828,10,40.0,-4.0
1184271099,2024-06-28,,GOVERNMENT,"Make statement, not specified below",Make Public Statement,Spain,https://larepublica.pe:443/sociedad/2024/06/27/morgan-quero-viajara-a-amazonas-para-abordar-violaciones-contra-ninas-awajun-vamos-a-ser-implacables-minedu-awajun-2348460,larepublica.pe:443,,,GOV,Spain,1,0.0,-5.36013400335008,10,40.0,-4.0
1184271103,2024-06-28,,MAYOR,"Consult, not specified below",Consult,Spain,https://larepublica.pe:443/sociedad/2024/06/27/linea-2-concesionario-afirma-no-estar-obligado-a-mejorar-mas-vias-para-desvio-vehicular-por-obras-de-estacion-quilca-2474388,larepublica.pe:443,,,GOV,Spain,1,1.0,-4.14414414414415,10,40.0,-4.0
